Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
S63	1000	0.993	192.312	19.231%	36.044	11.607%	0.06013	0.992
S64	1000	0.998	132.309	13.231%	18.423	6.008%	0.04387	0.998
S65	1000	0.998	133.616	13.362%	19.267	6.386%	0.04067	0.998
S66	1000	0.998	149.117	14.912%	21.692	6.86%	0.04906	0.997
S67	1000	0.996	170.29	17.029%	27.508	9.129%	0.04918	0.995
S68	1000	0.998	147.508	14.751%	21.809	6.961%	0.04545	0.997
S69	1000	0.995	193.887	19.389%	30.825	9.845%	0.05342	0.995
S70	1000	0.997	153.413	15.341%	25.827	8.353%	0.0434	0.996
S71	1000	0.998	139.435	13.944%	20.612	6.36%	0.0472	0.998
S72	1000	0.998	132.122	13.212%	20.468	6.354%	0.04574	0.998
S73	1000	0.998	135.583	13.558%	19.573	6.246%	0.04393	0.998
S74	1000	0.997	147.883	14.788%	23.592	7.234%	0.04583	0.997
S75	1000	0.996	159.987	15.999%	29.187	9.003%	0.05475	0.996
S76	1000	0.998	126.68	12.668%	18.731	5.843%	0.04091	0.998
S77	1000	0.996	151.656	15.166%	27.293	8.68%	0.04389	0.996
S78	1000	0.996	167.11	16.711%	28.458	8.703%	0.04864	0.996
S79	1000	0.997	149.186	14.919%	22.778	7.259%	0.05251	0.997
S80	1000	0.997	156.052	15.605%	24.845	7.95%	0.05094	0.997
S81	1000	0.998	136.188	13.619%	18.709	6.166%	0.04391	0.998
S82	1000	0.998	150.772	15.077%	20.986	7.154%	0.04885	0.997
S83	1000	0.994	194.637	19.464%	34.974	11.233%	0.05561	0.993
S84	1000	0.998	143.703	14.37%	19.875	6.38%	0.05371	0.998
S85	1000	0.994	176.572	17.657%	35.408	11.504%	0.05055	0.993
S86	1000	0.998	131.083	13.108%	19.863	6.242%	0.04662	0.998
S87	1000	0.998	144.564	14.456%	22.666	7.309%	0.05164	0.997
S88	1000	0.997	154.616	15.462%	22.462	7.527%	0.0497	0.997
S89	1000	0.997	158.742	15.874%	24.307	7.791%	0.05142	0.997
S90	1000	0.993	186.054	18.605%	36.044	11.428%	0.04684	0.993
S91	1000	0.997	164.939	16.494%	24.005	7.51%	0.05596	0.997
S92	1000	0.996	174.947	17.495%	29.983	9.605%	0.06371	0.995
S93	1000	0.998	128.383	12.838%	17.232	5.479%	0.04678	0.998
S94	1000	0.997	159.163	15.916%	24.945	8.135%	0.05004	0.996
S95	1000	0.994	187.111	18.711%	34.06	10.527%	0.06383	0.994
S96	1000	0.996	171.159	17.116%	28.678	8.864%	0.05635	0.996
S97	1000	0.996	165.065	16.506%	27.014	8.53%	0.05493	0.996
S98	1000	0.996	157.014	15.701%	26.992	9.095%	0.04234	0.996
S99	1000	0.998	156.574	15.657%	23.111	7.169%	0.0538	0.997
