sample	SBS1	SBS2	SBS3	SBS4	SBS5	SBS7a	SBS7b	SBS13	SBS16	SBS17b	SBS18	SBS33	SBS40
S16	0.076117	0.096019	0.000000	0.000000	0.240504	0.000000	0.000000	0.071787	0.000000	0.000000	0.000000	0.000000	0.515573
S17	0.185468	0.078394	0.000000	0.000000	0.447419	0.000000	0.000000	0.022945	0.000000	0.000000	0.265774	0.000000	0.000000
S18	0.071269	0.000000	0.000000	0.000000	0.179137	0.000000	0.000000	0.026176	0.051502	0.000000	0.000000	0.000000	0.671917
S19	0.040567	0.321769	0.000000	0.000000	0.251038	0.000000	0.000000	0.386626	0.000000	0.000000	0.000000	0.000000	0.000000
S20	0.095427	0.281528	0.000000	0.000000	0.182736	0.000000	0.000000	0.135617	0.000000	0.000000	0.000000	0.000000	0.304692
S21	0.093590	0.056410	0.000000	0.000000	0.614103	0.000000	0.000000	0.073077	0.000000	0.000000	0.162821	0.000000	0.000000
S22	0.020291	0.115455	0.000000	0.000000	0.123515	0.017035	0.046271	0.151580	0.000000	0.000000	0.000000	0.000000	0.525853
S23	0.029537	0.032354	0.000000	0.257903	0.637883	0.000000	0.000000	0.042323	0.000000	0.000000	0.000000	0.000000	0.000000
S24	0.000000	0.024791	0.000000	0.472228	0.466455	0.000000	0.000000	0.036527	0.000000	0.000000	0.000000	0.000000	0.000000
S25	0.092425	0.000000	0.000000	0.000000	0.276993	0.000000	0.000000	0.000000	0.000000	0.022706	0.116073	0.000000	0.491803
S26	0.071269	0.000000	0.000000	0.000000	0.179137	0.000000	0.000000	0.026176	0.051502	0.000000	0.000000	0.000000	0.671917
S27	0.143992	0.095002	0.000000	0.000000	0.488911	0.000000	0.000000	0.043694	0.000000	0.000000	0.228401	0.000000	0.000000
S28	0.121030	0.088830	0.000000	0.000000	0.501777	0.000000	0.000000	0.108039	0.000000	0.000000	0.180324	0.000000	0.000000
S29	0.141312	0.061061	0.000000	0.000000	0.517446	0.000000	0.000000	0.029309	0.000000	0.000000	0.250872	0.000000	0.000000
S30	0.092425	0.000000	0.000000	0.000000	0.276993	0.000000	0.000000	0.000000	0.000000	0.022706	0.116073	0.000000	0.491803
S31	0.129204	0.114454	0.000000	0.000000	0.633038	0.000000	0.000000	0.123304	0.000000	0.000000	0.000000	0.000000	0.000000
S32	0.057449	0.121608	0.000000	0.000000	0.101000	0.000000	0.000000	0.220452	0.000000	0.000000	0.000000	0.000000	0.499491
S33	0.126064	0.057979	0.000000	0.000000	0.213830	0.000000	0.000000	0.114096	0.000000	0.000000	0.000000	0.000000	0.488032
S34	0.143992	0.095002	0.000000	0.000000	0.488911	0.000000	0.000000	0.043694	0.000000	0.000000	0.228401	0.000000	0.000000
S35	0.185468	0.078394	0.000000	0.000000	0.447419	0.000000	0.000000	0.022945	0.000000	0.000000	0.265774	0.000000	0.000000
S36	0.069322	0.066826	0.000000	0.000000	0.483209	0.000000	0.000000	0.053551	0.000000	0.000000	0.327093	0.000000	0.000000
S37	0.122861	0.067900	0.000000	0.000000	0.454432	0.000000	0.000000	0.058717	0.000000	0.000000	0.296090	0.000000	0.000000
S38	0.107436	0.173588	0.000000	0.000000	0.225736	0.000000	0.000000	0.153549	0.000000	0.000000	0.000000	0.000000	0.339691
S39	0.077980	0.038425	0.000000	0.000000	0.243279	0.000000	0.000000	0.045741	0.098263	0.000000	0.000000	0.000000	0.496312
S40	0.000000	0.024791	0.000000	0.472228	0.466455	0.000000	0.000000	0.036527	0.000000	0.000000	0.000000	0.000000	0.000000
S41	0.143992	0.095002	0.000000	0.000000	0.488911	0.000000	0.000000	0.043694	0.000000	0.000000	0.228401	0.000000	0.000000
S42	0.029537	0.032354	0.000000	0.257903	0.637883	0.000000	0.000000	0.042323	0.000000	0.000000	0.000000	0.000000	0.000000
S43	0.113848	0.246570	0.000000	0.000000	0.241567	0.000000	0.000000	0.146290	0.000000	0.000000	0.000000	0.251724	0.000000
S44	0.029537	0.032354	0.000000	0.257903	0.637883	0.000000	0.000000	0.042323	0.000000	0.000000	0.000000	0.000000	0.000000
S45	0.020291	0.115455	0.000000	0.000000	0.123515	0.017035	0.046271	0.151580	0.000000	0.000000	0.000000	0.000000	0.525853
S46	0.268686	0.108331	0.000000	0.000000	0.580507	0.000000	0.000000	0.042476	0.000000	0.000000	0.000000	0.000000	0.000000
S47	0.076117	0.096019	0.000000	0.000000	0.240504	0.000000	0.000000	0.071787	0.000000	0.000000	0.000000	0.000000	0.515573
S48	0.029302	0.015271	0.000000	0.171008	0.294651	0.000000	0.000000	0.049225	0.082868	0.000000	0.000000	0.000000	0.357674
S49	0.137168	0.107734	0.000000	0.000000	0.485187	0.000000	0.000000	0.108503	0.000000	0.000000	0.161408	0.000000	0.000000
S50	0.121030	0.088830	0.000000	0.000000	0.501777	0.000000	0.000000	0.108039	0.000000	0.000000	0.180324	0.000000	0.000000
S51	0.149125	0.052086	0.000000	0.000000	0.226281	0.000000	0.000000	0.032635	0.000000	0.000000	0.000000	0.000000	0.539875
S52	0.053205	0.299328	0.000000	0.000000	0.144792	0.000000	0.000000	0.262775	0.000000	0.000000	0.000000	0.000000	0.239901
S53	0.000000	0.024484	0.000000	0.515439	0.415827	0.000000	0.000000	0.044251	0.000000	0.000000	0.000000	0.000000	0.000000
S54	0.125828	0.000000	0.000000	0.000000	0.218194	0.000000	0.000000	0.000000	0.000000	0.025793	0.157546	0.000000	0.472639
S55	0.000000	0.020600	0.000000	0.521701	0.412186	0.000000	0.000000	0.045513	0.000000	0.000000	0.000000	0.000000	0.000000
S56	0.149125	0.052086	0.000000	0.000000	0.226281	0.000000	0.000000	0.032635	0.000000	0.000000	0.000000	0.000000	0.539875
S57	0.167734	0.069142	0.000000	0.000000	0.311780	0.000000	0.000000	0.030410	0.000000	0.000000	0.000000	0.000000	0.420935
S58	0.071463	0.189605	0.274062	0.000000	0.198989	0.000000	0.000000	0.265881	0.000000	0.000000	0.000000	0.000000	0.000000
S59	0.015570	0.402362	0.000000	0.000000	0.135260	0.000000	0.000000	0.446808	0.000000	0.000000	0.000000	0.000000	0.000000
S60	0.112707	0.065564	0.000000	0.000000	0.509210	0.000000	0.000000	0.079301	0.000000	0.000000	0.233219	0.000000	0.000000
S61	0.167734	0.069142	0.000000	0.000000	0.311780	0.000000	0.000000	0.030410	0.000000	0.000000	0.000000	0.000000	0.420935
S62	0.061417	0.344240	0.000000	0.000000	0.355331	0.000000	0.000000	0.239013	0.000000	0.000000	0.000000	0.000000	0.000000
S63	0.000000	0.024791	0.000000	0.472228	0.466455	0.000000	0.000000	0.036527	0.000000	0.000000	0.000000	0.000000	0.000000
S64	0.126064	0.057979	0.000000	0.000000	0.213830	0.000000	0.000000	0.114096	0.000000	0.000000	0.000000	0.000000	0.488032
S65	0.113848	0.246570	0.000000	0.000000	0.241567	0.000000	0.000000	0.146290	0.000000	0.000000	0.000000	0.251724	0.000000
S66	0.039074	0.081221	0.000000	0.000000	0.254639	0.000000	0.000000	0.164735	0.000000	0.000000	0.000000	0.000000	0.460332
S67	0.141312	0.061061	0.000000	0.000000	0.517446	0.000000	0.000000	0.029309	0.000000	0.000000	0.250872	0.000000	0.000000
S68	0.092425	0.000000	0.000000	0.000000	0.276993	0.000000	0.000000	0.000000	0.000000	0.022706	0.116073	0.000000	0.491803
S69	0.268686	0.108331	0.000000	0.000000	0.580507	0.000000	0.000000	0.042476	0.000000	0.000000	0.000000	0.000000	0.000000
S70	0.149125	0.052086	0.000000	0.000000	0.226281	0.000000	0.000000	0.032635	0.000000	0.000000	0.000000	0.000000	0.539875
S71	0.122861	0.067900	0.000000	0.000000	0.454432	0.000000	0.000000	0.058717	0.000000	0.000000	0.296090	0.000000	0.000000
S72	0.077980	0.038425	0.000000	0.000000	0.243279	0.000000	0.000000	0.045741	0.098263	0.000000	0.000000	0.000000	0.496312
S73	0.107436	0.173588	0.000000	0.000000	0.225736	0.000000	0.000000	0.153549	0.000000	0.000000	0.000000	0.000000	0.339691
S74	0.061417	0.344240	0.000000	0.000000	0.355331	0.000000	0.000000	0.239013	0.000000	0.000000	0.000000	0.000000	0.000000
S75	0.088248	0.169674	0.000000	0.000000	0.413732	0.000000	0.000000	0.179357	0.000000	0.000000	0.148988	0.000000	0.000000
S76	0.069322	0.066826	0.000000	0.000000	0.483209	0.000000	0.000000	0.053551	0.000000	0.000000	0.327093	0.000000	0.000000
S77	0.040567	0.321769	0.000000	0.000000	0.251038	0.000000	0.000000	0.386626	0.000000	0.000000	0.000000	0.000000	0.000000
S78	0.185468	0.078394	0.000000	0.000000	0.447419	0.000000	0.000000	0.022945	0.000000	0.000000	0.265774	0.000000	0.000000
S79	0.070236	0.380464	0.000000	0.000000	0.236313	0.000000	0.000000	0.312986	0.000000	0.000000	0.000000	0.000000	0.000000
S80	0.020291	0.115455	0.000000	0.000000	0.123515	0.017035	0.046271	0.151580	0.000000	0.000000	0.000000	0.000000	0.525853
S81	0.039074	0.081221	0.000000	0.000000	0.254639	0.000000	0.000000	0.164735	0.000000	0.000000	0.000000	0.000000	0.460332
S82	0.029302	0.015271	0.000000	0.171008	0.294651	0.000000	0.000000	0.049225	0.082868	0.000000	0.000000	0.000000	0.357674
S83	0.158055	0.240217	0.000000	0.000000	0.526851	0.000000	0.000000	0.074877	0.000000	0.000000	0.000000	0.000000	0.000000
S84	0.141312	0.061061	0.000000	0.000000	0.517446	0.000000	0.000000	0.029309	0.000000	0.000000	0.250872	0.000000	0.000000
S85	0.036906	0.159667	0.000000	0.000000	0.570312	0.000000	0.000000	0.233115	0.000000	0.000000	0.000000	0.000000	0.000000
S86	0.118663	0.162537	0.000000	0.000000	0.374744	0.000000	0.000000	0.149807	0.000000	0.000000	0.194249	0.000000	0.000000
S87	0.053070	0.021339	0.000000	0.000000	0.472131	0.000000	0.000000	0.018672	0.000000	0.000000	0.071964	0.000000	0.362823
S88	0.121030	0.088830	0.000000	0.000000	0.501777	0.000000	0.000000	0.108039	0.000000	0.000000	0.180324	0.000000	0.000000
S89	0.000000	0.024791	0.000000	0.472228	0.466455	0.000000	0.000000	0.036527	0.000000	0.000000	0.000000	0.000000	0.000000
S90	0.158055	0.240217	0.000000	0.000000	0.526851	0.000000	0.000000	0.074877	0.000000	0.000000	0.000000	0.000000	0.000000
S91	0.088248	0.169674	0.000000	0.000000	0.413732	0.000000	0.000000	0.179357	0.000000	0.000000	0.148988	0.000000	0.000000
S92	0.095427	0.281528	0.000000	0.000000	0.182736	0.000000	0.000000	0.135617	0.000000	0.000000	0.000000	0.000000	0.304692
S93	0.016635	0.101213	0.493998	0.000000	0.274578	0.000000	0.000000	0.113576	0.000000	0.000000	0.000000	0.000000	0.000000
S94	0.061417	0.344240	0.000000	0.000000	0.355331	0.000000	0.000000	0.239013	0.000000	0.000000	0.000000	0.000000	0.000000
S95	0.137168	0.107734	0.000000	0.000000	0.485187	0.000000	0.000000	0.108503	0.000000	0.000000	0.161408	0.000000	0.000000
S96	0.037724	0.197570	0.000000	0.000000	0.279811	0.000000	0.000000	0.131714	0.000000	0.000000	0.000000	0.000000	0.353181
S97	0.069322	0.066826	0.000000	0.000000	0.483209	0.000000	0.000000	0.053551	0.000000	0.000000	0.327093	0.000000	0.000000
S98	0.149125	0.052086	0.000000	0.000000	0.226281	0.000000	0.000000	0.032635	0.000000	0.000000	0.000000	0.000000	0.539875
S99	0.112707	0.065564	0.000000	0.000000	0.509210	0.000000	0.000000	0.079301	0.000000	0.000000	0.233219	0.000000	0.000000
