Sample	SBS10a	SBS1	SBS3	SBS21	SBS26	SBS40	SBS9	SBS20	SBS15	SBS10b	SBS28	SBS6	SBS30	SBS13	SBS17a	SBS17b	SBS44	SBS5	SBS2
TCGA-AA-3831-01A-01W-0900-09	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0
TCGA-AA-3833-01A-01W-0900-09	0	267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	388	113	0
TCGA-AA-3837-01A-01W-0900-09	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0
TCGA-AA-3841-01A-01W-0900-09	0	50	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-AA-3842-01A-01W-0995-10	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0
TCGA-AA-3845-01A-01W-0995-10	0	338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	377	454	0
TCGA-AA-3846-01A-01W-0995-10	0	59	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-AA-3848-01A-01W-0900-09	0	84	0	0	0	52	0	0	0	0	0	0	23	0	0	0	0	47	0
TCGA-AA-3850-01A-01W-0995-10	0	64	0	0	0	52	0	0	0	0	0	0	20	0	0	0	0	29	0
TCGA-AA-3851-01A-01W-0995-10	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0
TCGA-AA-3852-01A-01W-0900-09	0	68	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	35	14
TCGA-AA-3854-01A-01W-0900-09	0	84	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-AA-3855-01A-01W-0995-10	0	114	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-AA-3856-01A-01W-0900-09	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0
TCGA-AA-3858-01A-01W-0900-09	0	45	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	12	0
TCGA-AA-3861-01A-01W-0995-10	0	87	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	29	0
TCGA-AA-3862-01A-01W-0995-10	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	68	0
TCGA-AA-3864-01A-01D-1981-10	0	2058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1577	46	0
TCGA-AA-3866-01A-01W-0995-10	0	70	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-AA-3875-01A-01W-0900-09	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0
TCGA-AA-3877-01A-01W-0995-10	0	674	0	0	0	0	0	204	0	0	0	0	0	0	0	0	0	607	0
TCGA-AA-3947-01A-01D-1981-10	0	479	0	0	0	0	0	582	682	0	0	0	0	0	0	0	0	1234	0
TCGA-AA-3949-01A-01W-0995-10	0	133	0	0	0	0	0	0	904	0	0	0	0	0	0	0	0	587	0
TCGA-AA-3950-01A-02W-0995-10	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	64	0
TCGA-AA-3952-01A-01W-0995-10	0	39	0	0	0	56	0	0	0	0	0	0	24	0	0	0	0	26	0
TCGA-AA-3955-01A-02W-0995-10	0	41	0	0	0	76	37	0	0	0	0	0	0	15	0	0	0	11	0
TCGA-AA-3966-01A-01W-1073-09	0	280	0	0	0	0	0	188	215	0	0	0	0	0	0	0	0	699	0
TCGA-AA-3968-01A-01W-0995-10	0	70	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-AA-3971-01A-01W-0995-10	0	38	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	64	0
TCGA-AA-3973-01A-01W-0995-10	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0
TCGA-AA-3975-01A-01W-0995-10	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	128	0
TCGA-AA-3976-01A-01W-0995-10	0	53	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	22	0
TCGA-AA-3979-01A-01W-0995-10	0	51	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	38	0
TCGA-AA-3980-01A-02W-0995-10	0	50	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	23	0
TCGA-AA-3982-01A-02W-0995-10	0	62	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-AA-3986-01A-02W-0995-10	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0
TCGA-AA-3989-01A-01W-0995-10	0	72	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-AA-A004-01A-01W-A00E-09	0	37	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	15	0
TCGA-AA-A017-01A-01W-A00E-09	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	16
TCGA-AA-A01C-01A-01W-A00E-09	0	41	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	13	0
TCGA-AA-A01I-01A-02W-A00E-09	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0
TCGA-AA-A01P-01A-21D-A17O-10	0	412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	403	295	0
TCGA-AA-A01R-01A-21D-A17O-10	0	1380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	736	426	0
TCGA-AA-A01Z-01A-11W-A096-10	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0
TCGA-AA-A022-01A-21D-A17O-10	0	719	0	0	0	0	0	0	292	0	0	0	0	0	0	0	477	447	0
TCGA-AA-A024-01A-02W-A00E-09	0	46	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	25	12
TCGA-AA-A02E-01A-01W-A00E-09	0	61	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	31	0
TCGA-AA-A02K-01A-21W-A096-10	0	55	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	59	0
TCGA-AA-A02R-01A-01W-A00E-09	0	328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	488	543	0
TCGA-AA-A02W-01A-01W-A00E-09	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0
TCGA-AA-A03F-01A-11W-A096-10	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0
TCGA-AA-A03J-01A-21W-A096-10	0	52	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	32	0
TCGA-AD-5900-01A-11D-1650-10	0	484	0	0	0	0	0	400	390	0	0	0	0	0	0	0	0	650	0
TCGA-AD-6548-01A-11D-1835-10	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0
TCGA-AD-6888-01A-11D-1924-10	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0
TCGA-AD-6889-01A-11D-1924-10	0	608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1017	471	0
TCGA-AD-6890-01A-11D-1924-10	0	86	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-AD-6895-01A-11D-1924-10	0	446	0	0	0	0	0	0	444	0	0	0	0	0	0	0	0	1317	0
TCGA-AD-6899-01A-11D-1924-10	0	97	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	96	12
TCGA-AD-6901-01A-11D-1924-10	0	119	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	85	0
TCGA-AD-6963-01A-11D-1924-10	0	47	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	35	0
TCGA-AD-6965-01A-11D-1924-10	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0
TCGA-AD-A5EJ-01A-11D-A28G-10	0	512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	828	428	0
TCGA-AM-5820-01A-01D-1650-10	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0
TCGA-AM-5821-01A-01D-1650-10	0	285	0	0	0	0	0	243	484	0	0	0	0	0	0	0	0	601	0
TCGA-AU-3779-01A-01D-1719-10	0	65	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-AU-6004-01A-11D-1719-10	0	499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	360	325	0
TCGA-AY-5543-01A-01D-1650-10	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0
TCGA-AY-6196-01A-11D-1719-10	0	59	0	0	0	210	0	0	0	0	0	0	0	0	0	0	0	41	0
TCGA-AY-6197-01A-11D-1719-10	0	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	497	590	0
TCGA-AY-6386-01A-21D-1719-10	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0
TCGA-AY-A69D-01A-11D-A36X-10	0	115	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	51	0
TCGA-AY-A71X-01A-12D-A36X-10	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0
TCGA-AY-A8YK-01A-11D-A40P-10	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0
TCGA-AZ-4614-01A-01D-1408-10	0	97	0	0	0	105	0	0	0	0	0	0	0	0	0	20	0	42	0
TCGA-AZ-4615-01A-01D-1408-10	0	291	0	0	0	0	0	209	0	0	0	0	0	0	0	0	0	479	0
TCGA-AZ-4616-01A-21D-1835-10	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0
TCGA-AZ-4681-01A-01D-1408-10	0	45	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	24	0
TCGA-AZ-4682-01B-01D-1408-10	0	57	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	25	0
TCGA-AZ-5407-01A-01D-1719-10	0	70	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	13	0
TCGA-AZ-6598-01A-11D-1771-10	0	623	0	0	0	0	0	0	707	0	0	0	0	0	0	0	738	673	0
TCGA-AZ-6599-01A-11D-1771-10	0	75	0	0	0	0	0	0	0	0	0	0	233	0	0	0	0	34	72
TCGA-AZ-6600-01A-11D-1771-10	0	67	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	30	0
TCGA-AZ-6603-01A-11D-1835-10	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0
TCGA-AZ-6605-01A-11D-1835-10	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0
TCGA-AZ-6606-01A-11D-1835-10	0	86	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	85	11
TCGA-CA-5254-01A-21D-1835-10	0	111	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	42	0
TCGA-CA-5255-01A-11D-1835-10	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0
TCGA-CA-5256-01A-01D-1408-10	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0
TCGA-CA-5796-01A-01D-1650-10	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0
TCGA-CA-6716-01A-11D-1835-10	0	121	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-CA-6719-01A-11D-1835-10	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0
TCGA-CK-4947-01B-11D-1650-10	0	60	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0
TCGA-CK-4948-01B-11D-1650-10	0	67	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-CK-4950-01A-01D-1719-10	0	76	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	38	0
TCGA-CK-4951-01A-01D-1408-10	0	444	0	0	0	0	0	0	1511	0	0	0	1492	0	0	0	0	2995	0
TCGA-CK-4952-01A-01D-1719-10	0	103	0	0	0	76	0	0	0	0	0	0	29	0	0	0	0	0	0
TCGA-CK-5912-01A-11D-1650-10	0	38	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-CK-5913-01A-11D-1650-10	0	414	0	0	0	0	0	217	0	0	0	0	0	0	0	0	0	430	0
TCGA-CK-5914-01A-11D-1650-10	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0
TCGA-CK-5915-01A-11D-1650-10	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0
TCGA-CK-5916-01A-11D-1650-10	0	664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	691	478	0
TCGA-CK-6746-01A-11D-1835-10	0	354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	631	481	0
TCGA-CK-6747-01A-11D-1835-10	0	102	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	29	0
TCGA-CK-6748-01A-11D-1835-10	0	37	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-CK-6751-01A-11D-1835-10	0	75	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	134	0
TCGA-CM-4743-01A-01D-1719-10	0	489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	517	426	0
TCGA-CM-4744-01A-01D-1408-10	0	95	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	39	0
TCGA-CM-4746-01A-01D-1408-10	0	464	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0	272	0
TCGA-CM-4747-01A-01D-1408-10	0	75	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	11	0
TCGA-CM-4748-01A-01D-1408-10	0	34	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	22	0
TCGA-CM-4750-01A-01D-1408-10	0	53	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-CM-4751-01A-02D-1835-10	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0
TCGA-CM-4752-01A-01D-1408-10	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0
TCGA-CM-5341-01A-01D-1408-10	0	92	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-CM-5344-01A-21D-1719-10	0	51	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-CM-5348-01A-21D-1719-10	0	112	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	28	0
TCGA-CM-5349-01A-21D-1719-10	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0
TCGA-CM-5860-01A-01D-1650-10	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0
TCGA-CM-5861-01A-01D-1650-10	0	331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	786	720	0
TCGA-CM-5862-01A-01D-1650-10	0	69	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	12	0
TCGA-CM-5863-01A-21D-1835-10	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0
TCGA-CM-5864-01A-01D-1650-10	0	71	0	0	0	135	0	0	0	0	0	0	0	0	0	0	0	58	0
TCGA-CM-5868-01A-01D-1650-10	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0
TCGA-CM-6161-01A-11D-1650-10	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0
TCGA-CM-6162-01A-11D-1650-10	0	1082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	326	0
TCGA-CM-6163-01A-11D-1650-10	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0
TCGA-CM-6167-01A-11D-1650-10	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0
TCGA-CM-6168-01A-11D-1650-10	0	94	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	166	0
TCGA-CM-6169-01A-11D-1650-10	0	65	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-CM-6171-01A-11D-1650-10	0	657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	430	419	0
TCGA-CM-6172-01A-11D-1650-10	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0
TCGA-CM-6674-01A-11D-1835-10	0	516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	347	221	0
TCGA-CM-6676-01A-11D-1835-10	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0
TCGA-CM-6677-01A-11D-1835-10	0	92	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	34	0
TCGA-CM-6678-01A-11D-1835-10	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0
TCGA-CM-6680-01A-11D-1835-10	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0
TCGA-D5-5537-01A-21D-1924-10	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0
TCGA-D5-5538-01A-01D-1650-10	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0
TCGA-D5-5539-01A-01D-1650-10	0	69	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-D5-5540-01A-01D-1650-10	0	90	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0
