Sample	SBS1	SBS36	SBS3	SBS11	SBS7c	SBS31	SBS7d	SBS38	SBS10b	SBS14	SBS7b	SBS7a	SBS17a	SBS17b	SBS5
TCGA-D3-A3MR-06A-11D-A21A-08	14	0	0	0	29	0	31	0	0	0	357	605	0	0	61
TCGA-D3-A51G-06A-11D-A25O-08	31	0	0	0	0	0	64	0	0	0	651	668	0	0	172
TCGA-D3-A51R-06A-11D-A25O-08	11	0	0	0	0	0	0	0	0	0	226	583	0	0	98
TCGA-D3-A51T-06A-11D-A25O-08	15	0	0	0	25	0	39	0	0	0	551	805	0	0	102
TCGA-D3-A5GL-06A-11D-A27K-08	12	0	0	0	17	0	19	0	0	0	170	224	0	0	106
TCGA-D3-A5GO-06A-12D-A27K-08	11	0	0	0	23	0	20	0	0	0	525	1372	0	0	145
TCGA-D3-A8GI-06A-11D-A372-08	80	0	0	0	84	0	43	0	0	0	1296	4955	0	0	536
TCGA-D3-A8GL-06A-11D-A372-08	11	0	0	0	16	0	78	0	0	0	775	1455	0	0	126
TCGA-D3-A8GM-06A-11D-A372-08	353	0	0	0	81	0	157	0	0	0	960	2607	0	0	830
TCGA-D3-A8GN-06A-11D-A372-08	11	0	0	0	0	0	0	0	0	0	142	167	0	0	14
TCGA-D3-A8GP-06A-11D-A372-08	11	0	0	0	0	0	23	0	0	0	172	401	0	0	126
TCGA-D3-A8GS-06A-12D-A372-08	11	0	0	0	0	0	0	0	0	0	107	115	0	0	30
TCGA-D3-A8GV-06A-11D-A372-08	13	0	0	0	0	0	12	0	0	0	138	313	0	0	70
TCGA-D9-A1JX-06A-11D-A19A-08	10	0	0	0	0	0	17	0	0	0	66	115	0	0	31
TCGA-D9-A4Z3-01A-11D-A25O-08	10	0	0	0	0	0	0	0	0	0	402	409	0	0	104
TCGA-DA-A1I4-06A-11D-A196-08	11	0	0	0	0	0	0	0	0	0	85	183	0	0	48
TCGA-DA-A1IC-06A-11D-A197-08	34	0	0	0	0	0	60	0	0	0	428	549	0	0	166
TCGA-DA-A95V-06A-11D-A372-08	12	0	0	0	0	0	0	0	0	0	105	150	0	0	66
TCGA-DA-A95Z-06A-11D-A372-08	42	0	0	0	0	0	64	0	0	0	610	1535	0	0	280
TCGA-DA-A960-01A-11D-A372-08	23	0	0	0	0	0	14	0	0	0	360	635	0	0	106
TCGA-EB-A3XD-01A-22D-A23B-08	15	0	0	0	0	0	21	0	0	0	193	268	0	0	0
TCGA-EB-A3Y6-01A-21D-A23B-08	12	0	0	0	10	0	15	0	0	0	249	351	0	0	150
TCGA-EB-A3Y7-01A-11D-A23B-08	17	0	0	0	34	0	66	0	0	0	330	815	0	0	198
TCGA-EB-A41A-01A-11D-A24R-08	10	0	0	0	0	0	124	0	0	0	599	1622	0	0	175
TCGA-EB-A41B-01A-11D-A24R-08	17	0	0	0	0	0	0	0	0	0	113	385	0	0	16
TCGA-EB-A431-01A-11D-A25O-08	13	0	0	0	107	0	0	0	0	0	952	1116	0	0	50
TCGA-EB-A44O-01A-11D-A25O-08	13	0	0	0	17	0	14	0	0	0	272	253	0	0	68
TCGA-EB-A550-01A-61D-A27K-08	10	0	0	0	0	0	0	0	0	0	79	83	0	0	23
TCGA-EB-A551-01A-21D-A27K-08	12	0	0	0	0	0	25	0	0	0	101	234	0	0	73
TCGA-EB-A5UM-01A-11D-A30X-08	13	0	0	0	0	0	0	0	0	0	297	325	0	0	65
TCGA-EB-A6QY-01A-12D-A32N-08	10	0	0	0	24	0	0	0	0	0	261	427	0	0	109
TCGA-EB-A6R0-01A-12D-A32N-08	10	0	0	0	0	0	0	0	0	0	195	192	0	0	74
TCGA-EB-A85I-01A-11D-A34U-08	11	0	0	0	0	0	12	0	0	0	101	137	0	0	42
TCGA-EB-A85J-01A-12D-A34U-08	14	0	0	0	0	0	0	0	0	0	160	349	0	0	29
TCGA-EB-A97M-01A-11D-A38G-08	15	0	0	0	0	0	0	0	0	0	139	211	0	0	38
TCGA-EE-A17X-06A-11D-A197-08	15	0	0	0	0	0	21	0	0	0	292	589	0	0	115
TCGA-EE-A180-06A-11D-A21A-08	21	0	0	0	11	0	0	0	0	0	230	340	0	0	93
TCGA-EE-A182-06A-11D-A196-08	19	0	0	0	31	0	97	0	0	0	472	1176	0	0	147
TCGA-EE-A20H-06A-11D-A197-08	11	0	0	0	35	0	66	0	0	0	219	394	0	0	74
TCGA-EE-A29D-06A-11D-A197-08	46	0	0	0	0	0	149	0	0	0	2103	2641	0	0	104
TCGA-EE-A29N-06A-12D-A197-08	11	0	0	0	0	0	24	0	0	0	319	298	0	0	76
TCGA-EE-A29T-06A-11D-A197-08	33	0	0	0	0	0	0	0	0	0	71	285	0	0	114
TCGA-EE-A29V-06A-12D-A197-08	10	0	0	0	0	0	46	0	0	0	553	497	0	0	134
TCGA-EE-A2GC-06A-11D-A197-08	22	0	0	0	20	0	105	0	0	0	1135	1580	0	0	218
TCGA-EE-A2GI-06A-11D-A196-08	20	0	0	0	14	0	67	0	0	0	750	1042	0	0	85
TCGA-EE-A2GO-06A-11D-A196-08	28	0	0	0	44	0	49	0	0	0	1120	1185	0	0	82
TCGA-EE-A2GP-06A-11D-A197-08	16	0	0	0	0	0	0	0	0	0	251	484	0	0	57
TCGA-EE-A2GR-06A-11D-A197-08	10	0	0	0	12	0	63	0	0	0	855	869	0	0	132
TCGA-EE-A2GU-06A-11D-A196-08	10	0	0	0	0	0	27	0	0	0	261	485	0	0	37
TCGA-EE-A2MJ-06A-11D-A197-08	13	0	0	0	67	0	0	0	0	0	709	1579	0	0	267
TCGA-EE-A2MR-06A-11D-A196-08	120	0	0	0	0	0	0	0	0	0	1131	3035	0	0	586
TCGA-EE-A3AE-06A-11D-A196-08	14	0	0	0	33	0	26	0	0	0	511	1222	0	0	203
TCGA-EE-A3J3-06A-11D-A20D-08	15	0	0	0	0	0	0	0	0	0	78	62	0	0	58
TCGA-EE-A3J4-06A-11D-A20D-08	18	0	0	0	35	0	0	0	0	0	75	176	0	0	83
TCGA-EE-A3J7-06A-11D-A20D-08	36	0	0	0	11	0	26	0	0	0	572	378	0	0	218
TCGA-EE-A3JA-06A-11D-A20D-08	21	0	0	0	19	0	0	0	0	0	385	898	0	0	43
TCGA-EE-A3JB-06A-11D-A21A-08	10	0	0	0	15	0	33	0	0	0	302	305	0	0	139
TCGA-EE-A3JD-06A-11D-A20D-08	22	0	0	0	0	0	109	0	0	0	1028	1566	0	0	277
TCGA-EE-A3JH-06A-11D-A21A-08	18	0	0	0	0	0	0	0	0	0	55	94	0	0	55
TCGA-ER-A193-06A-12D-A197-08	21	0	0	0	50	0	28	0	0	0	781	1360	0	0	326
TCGA-ER-A194-01A-11D-A197-08	15	0	0	0	19	0	39	0	0	0	768	843	0	0	84
TCGA-ER-A198-06A-11D-A196-08	16	0	0	0	0	0	0	0	0	0	234	261	0	0	110
TCGA-ER-A19K-01A-21D-A197-08	14	0	0	0	0	0	0	0	0	0	141	310	0	0	0
TCGA-ER-A19M-06A-61D-A23B-08	11	0	0	0	0	0	0	0	0	0	254	302	0	0	66
TCGA-ER-A2ND-06A-11D-A196-08	13	0	0	0	0	0	15	0	0	0	10	50	0	0	59
TCGA-FR-A3R1-01A-11D-A23B-08	13	0	0	0	0	0	0	0	0	0	315	198	0	0	35
TCGA-FR-A3YO-06A-11D-A23B-08	22	0	0	0	0	0	19	0	0	0	387	656	0	0	66
TCGA-FR-A69P-06A-21D-A30X-08	11	0	0	0	0	0	16	0	0	0	99	154	0	0	14
TCGA-FR-A7U9-06A-11D-A34U-08	31	0	0	0	80	0	40	0	0	0	685	1431	0	0	105
TCGA-FR-A8YC-06A-11D-A372-08	17	0	0	0	73	0	135	0	0	0	1142	2230	0	0	351
TCGA-FS-A1YW-06A-11D-A197-08	12	0	0	0	0	0	0	0	0	0	52	115	0	0	47
TCGA-FS-A1YY-06A-11D-A197-08	13	0	0	0	0	0	0	0	0	0	102	130	0	0	21
TCGA-FS-A1Z3-06A-11D-A197-08	14	0	0	0	40	0	40	0	0	0	430	712	0	0	102
TCGA-FS-A1ZA-06A-11D-A197-08	12	0	0	0	35	0	72	0	0	0	384	872	0	0	275
TCGA-FS-A1ZS-06A-12D-A197-08	10	0	0	0	0	0	0	0	0	0	82	172	0	0	107
TCGA-FS-A1ZT-06A-11D-A197-08	10	0	0	0	0	0	0	0	0	0	76	134	0	0	17
TCGA-FS-A1ZW-06A-12D-A197-08	10	0	0	0	0	0	22	0	0	0	252	437	0	0	178
TCGA-FS-A1ZZ-06A-11D-A197-08	29	0	0	0	12	0	57	0	0	0	504	1393	0	0	0
TCGA-FS-A4F5-06A-11D-A25O-08	13	0	0	0	0	0	36	0	0	0	352	550	0	0	29
TCGA-FS-A4FC-06A-11D-A24R-08	13	0	0	0	20	0	0	0	0	0	314	534	0	0	93
TCGA-FW-A3R5-06A-11D-A23B-08	399	0	0	0	0	0	0	0	0	0	10601	12792	0	0	2690
TCGA-FW-A3TU-06A-11D-A23B-08	14	0	0	0	0	0	26	0	0	0	332	392	0	0	161
TCGA-GF-A3OT-06A-23D-A23B-08	14	0	0	0	0	0	12	0	0	0	308	289	0	0	108
TCGA-GF-A6C9-06A-11D-A30X-08	33	0	0	0	0	0	104	0	0	0	849	2502	0	0	246
TCGA-GN-A267-06A-21D-A196-08	11	0	0	0	0	0	10	0	0	0	156	233	0	0	117
TCGA-GN-A4U3-06A-11D-A32N-08	10	0	0	0	0	0	18	0	0	0	169	190	0	0	40
TCGA-GN-A4U5-01A-11D-A32N-08	10	0	0	0	0	0	0	0	0	0	187	175	0	0	0
TCGA-GN-A8LK-06A-11D-A372-08	23	0	0	0	21	0	62	0	0	0	989	1354	0	0	200
TCGA-HR-A5NC-01A-11D-A27K-08	10	0	0	0	0	0	0	0	0	0	32	13	0	0	31
TCGA-IH-A3EA-01A-11D-A20D-08	16	0	0	0	0	0	45	0	0	0	505	1279	0	0	95
TCGA-OD-A75X-06A-12D-A32N-08	25	0	0	0	0	0	60	0	0	0	411	793	0	0	68
TCGA-QB-A6FS-06A-11D-A30X-08	30	0	0	0	0	0	21	0	0	0	560	908	0	0	0
TCGA-QB-AA9O-06A-11D-A397-08	32	0	0	0	60	0	105	0	0	0	617	995	0	0	203
TCGA-RP-A694-06A-11D-A30X-08	12	0	0	0	0	0	10	0	0	0	286	488	0	0	128
TCGA-W3-A824-06A-21D-A34U-08	104	0	0	0	0	0	35	0	0	0	596	948	0	0	193
TCGA-W3-A825-06A-11D-A34U-08	19	0	0	0	16	0	50	0	0	0	390	881	0	0	126
TCGA-W3-AA1O-06A-11D-A38G-08	21	0	0	0	0	0	29	0	0	0	294	585	0	0	42
TCGA-W3-AA1Q-06A-11D-A38G-08	22	0	0	0	0	0	11	0	0	0	333	763	0	0	100
TCGA-W3-AA1R-06A-11D-A397-08	14	0	0	0	16	0	50	0	0	0	683	1227	0	0	290
TCGA-W3-AA1V-06B-11D-A401-08	30	0	0	0	239	0	92	0	0	0	2043	3994	0	0	618
TCGA-W3-AA1W-06A-11D-A38G-08	20	0	0	0	0	0	11	0	0	0	247	569	0	0	77
TCGA-W3-AA21-06A-11D-A38G-08	13	0	0	0	0	0	23	0	0	0	162	410	0	0	66
TCGA-WE-A8K1-06A-21D-A372-08	14	0	0	0	0	0	14	0	0	0	101	237	0	0	75
TCGA-WE-A8K4-01A-12D-A372-08	12	0	0	0	16	0	52	0	0	0	368	560	0	0	71
TCGA-WE-A8K5-06A-11D-A372-08	30	0	0	0	0	0	11	0	0	0	509	868	0	0	135
TCGA-WE-A8ZO-06A-11D-A372-08	12	0	0	0	0	0	21	0	0	0	150	269	0	0	20
TCGA-WE-A8ZQ-06A-41D-A372-08	10	0	0	0	0	0	0	0	0	0	61	77	0	0	85
TCGA-XV-AAZV-01A-11D-A401-08	11	0	0	0	0	0	0	0	0	0	39	89	0	0	0
TCGA-YD-A89C-06A-11D-A372-08	12	0	0	0	26	0	35	0	0	0	719	1317	0	0	200
TCGA-YD-A9TA-06A-11D-A397-08	41	0	0	0	35	0	0	0	0	0	1045	2784	0	0	418
TCGA-YG-AA3O-06A-11D-A38G-08	14	0	0	0	20	0	24	0	0	0	385	858	0	0	135
TCGA-Z2-AA3V-06A-11D-A397-08	14	0	0	0	39	0	19	0	0	0	121	313	0	0	0
A06	16	0	0	0	0	0	0	0	0	0	127	115	0	0	42
PD9030a	11	0	0	0	0	0	0	0	0	0	79	139	0	0	74
PD9033a	15	0	0	0	0	0	23	0	0	0	215	492	0	0	112
SKCM-JWCI-14-Tumor	25	0	0	0	34	0	111	0	0	0	783	1917	0	0	232
SKCM-JWCI-WGS-24-Tumor	10	0	0	0	0	0	17	0	0	0	65	138	0	0	78
SKCM-JWCI-WGS-25-Tumor	24	0	0	0	138	0	69	0	0	0	1364	1548	0	0	132
SKCM-JWCI-WGS-34-Tumor	30	0	0	0	39	0	108	0	0	0	554	841	0	0	247
SKCM-JWCI-WGS-4-Tumor	30	0	0	0	24	0	17	0	0	0	306	499	0	0	123
SKCM-JWCI-WGS-5-Tumor	21	0	0	0	0	0	30	0	0	0	170	447	0	0	119
SKCM-JWCI-WGS-6-Tumor	44	0	0	0	0	0	24	0	0	0	377	834	0	0	157
SKCM-JWCI-WGS-7-Tumor	20	0	0	0	0	0	129	0	0	0	817	3101	0	0	206
SKCM-Ma-Mel-08a-Tumor	15	0	0	0	0	0	26	0	0	0	237	758	0	0	121
SKCM-Ma-Mel-114-Tumor	53	0	0	0	73	0	77	0	0	0	1158	3207	0	0	206
SKCM-Ma-Mel-119-Tumor	18	0	0	0	0	0	58	0	0	0	509	971	0	0	246
SKCM-Ma-Mel-48-Tumor	20	0	0	0	16	0	164	0	0	0	857	1755	0	0	416
SKCM-Ma-Mel-63-Tumor	16	0	0	0	27	0	15	0	0	0	297	359	0	0	193
SKCM-Ma-Mel-65-Tumor	31	0	0	0	64	0	34	0	0	0	853	2851	0	0	146
SKCM-Ma-Mel-79-Tumor	13	0	0	0	0	0	64	0	0	0	281	378	0	0	150
SKCM-Ma-Mel-92-Tumor	20	0	0	0	0	0	0	0	0	0	40	176	0	0	145
2_PRE-TREATMENT	13	0	0	0	0	0	18	0	0	0	392	750	0	0	114
1T	14	0	0	0	0	0	0	0	0	0	132	226	0	0	33
22T	15	0	0	0	0	0	0	0	0	0	62	91	0	0	12
YUAKER	11	0	0	0	23	0	0	0	0	0	223	783	0	0	0
YUBOO	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YUGOE	12	0	0	0	13	0	26	0	0	0	223	349	0	0	66
YUKLAB	103	0	0	0	36	0	0	0	0	0	1316	1223	0	0	597
YULAN	19	0	0	0	0	0	0	0	0	0	547	1048	0	0	220
YUPAT	16	0	0	0	13	0	60	0	0	0	425	377	0	0	53
YURIF	10	0	0	0	0	0	0	0	0	0	89	159	0	0	0
ME037T	12	0	0	0	0	0	0	0	0	0	108	91	0	0	31
ME100L	10	0	0	0	15	0	10	0	0	0	137	283	0	0	69
ME002T	12	0	0	0	13	0	16	0	0	0	183	208	0	0	38
ME016T	12	0	0	0	0	0	0	0	0	0	40	155	0	0	25
ME041T	11	0	0	0	0	0	0	0	0	0	70	122	0	0	17
ME043T	16	0	0	0	0	0	0	0	0	0	121	201	0	0	98
ME045T	11	0	0	27	0	0	0	0	0	0	29	95	0	0	24
TCGA-ER-A19P-06A-11D-A196-08	0	974	0	0	0	0	0	1519	0	0	0	0	0	0	0
SKCM-JWCI-WGS-20-Tumor	0	0	48	0	0	96	0	66	0	0	0	0	0	0	110
PD10021a	0	0	0	880	0	0	0	0	0	0	366	467	0	0	105
PD9032a	0	0	0	15	0	0	0	0	0	0	75	91	0	0	105
SKCM-JWCI-WGS-23-Tumor	0	0	0	10	0	0	0	0	0	0	116	266	0	0	124
SKCM-JWCI-WGS-38-Tumor	0	0	0	28	13	0	13	0	0	0	168	292	0	0	135
SKCM-Ma-Mel-16-Tumor	0	0	0	11	0	0	12	0	0	0	33	125	0	0	37
96T	0	0	0	12	0	0	0	0	0	0	39	98	0	0	12
YUPEET	0	0	0	20	0	0	0	0	0	0	45	64	0	0	12
YUSCO	0	0	0	31	0	0	0	0	0	0	70	55	0	0	0
LAU618	0	0	0	20	0	0	0	0	0	0	100	67	0	0	61
ME011T	0	0	0	170	0	0	0	0	0	0	187	64	0	0	0
ME029T	0	0	0	107	0	0	0	0	0	0	30	156	0	0	68
ME030T	0	0	0	29	0	0	16	0	0	0	35	105	0	0	34
TCGA-3N-A9WC-06A-11D-A38G-08	0	0	0	0	12	0	59	0	0	0	642	1445	0	0	254
TCGA-BF-AAP0-06A-11D-A397-08	0	0	0	0	16	0	10	0	0	0	186	333	0	0	62
TCGA-D3-A3C7-06A-11D-A196-08	0	0	0	0	19	0	0	0	0	0	361	635	0	0	0
TCGA-D3-A3MU-06A-11D-A21A-08	0	0	0	0	21	0	0	0	0	0	132	403	0	0	68
TCGA-D3-A5GU-06A-11D-A27K-08	0	0	0	0	19	0	0	0	0	0	310	367	0	0	193
TCGA-D3-A8GB-06A-11D-A372-08	0	0	0	0	24	0	0	0	0	0	502	638	0	0	115
TCGA-D3-A8GK-06A-11D-A372-08	0	0	0	0	31	0	34	0	0	0	214	435	0	0	44
TCGA-D3-A8GR-06A-11D-A372-08	0	0	0	0	19	0	0	0	0	0	173	206	0	0	81
TCGA-D9-A1JW-06A-11D-A19A-08	0	0	0	0	17	0	51	0	0	0	486	589	0	0	64
TCGA-D9-A4Z6-06A-12D-A25O-08	0	0	0	0	14	0	0	0	0	0	93	224	0	0	18
TCGA-D9-A6EA-06A-11D-A30X-08	0	0	0	0	62	0	0	0	0	0	251	460	0	0	70
TCGA-D9-A6EC-06A-11D-A30X-08	0	0	0	0	120	0	70	0	0	0	1001	2247	367	633	1088
TCGA-EB-A430-01A-11D-A24R-08	0	0	0	0	14	0	0	0	0	0	208	211	0	0	56
TCGA-EB-A4IS-01A-21D-A25O-08	0	0	0	0	21	0	20	0	0	0	247	324	0	0	73
TCGA-EB-A4XL-01A-11D-A27K-08	0	0	0	0	20	0	18	0	0	0	214	300	0	0	49
TCGA-EB-A51B-01A-11D-A27K-08	0	0	0	0	12	0	15	0	0	0	125	281	0	0	40
TCGA-EB-A5SG-06A-11D-A30X-08	0	0	0	0	13	0	11	0	0	0	101	201	0	0	27
TCGA-EB-A5UL-06A-11D-A30X-08	0	0	0	0	15	0	13	0	0	0	200	235	0	0	128
TCGA-EB-A5UN-06A-11D-A30X-08	0	0	0	0	16	0	21	0	0	0	352	413	0	0	124
TCGA-EE-A29E-06A-11D-A197-08	0	0	0	0	132	0	12	0	0	0	1212	2999	0	0	165
TCGA-EE-A29M-06A-11D-A196-08	0	0	0	0	34	0	50	0	0	0	887	1983	0	0	157
TCGA-EE-A29S-06A-11D-A197-08	0	0	0	0	14	0	58	0	0	0	451	744	0	0	356
TCGA-EE-A2A2-06A-11D-A196-08	0	0	0	0	84	0	55	0	0	0	700	864	0	0	211
TCGA-EE-A2A5-06A-11D-A197-08	0	0	0	0	15	0	17	0	0	0	165	151	0	0	28
TCGA-EE-A2GD-06A-11D-A196-08	0	0	0	0	11	0	22	0	0	0	170	440	0	0	91
TCGA-EE-A2GJ-06A-11D-A196-08	0	0	0	0	10	0	64	0	0	0	443	821	0	0	222
TCGA-EE-A2MS-06A-11D-A197-08	0	0	0	0	21	0	35	0	0	0	1642	1740	0	0	515
TCGA-EE-A2MT-06A-11D-A197-08	0	0	0	0	17	0	35	0	0	0	412	586	0	0	94
TCGA-EE-A3AF-06A-11D-A196-08	0	0	0	0	18	0	30	0	0	0	478	498	0	0	145
TCGA-FR-A726-01A-11D-A32N-08	0	0	0	0	161	0	98	0	0	0	4220	4522	0	0	507
TCGA-FR-A729-06A-11D-A34U-08	0	0	0	0	22	0	0	0	0	0	322	675	0	0	140
TCGA-FS-A4F0-06A-11D-A24R-08	0	0	0	0	21	0	16	0	0	0	272	291	0	0	87
TCGA-FW-A3TV-06A-11D-A23B-08	0	0	0	0	19	0	16	0	0	0	117	212	0	0	64
TCGA-GN-A4U7-06A-21D-A32N-08	0	0	0	0	14	0	0	0	0	0	66	125	0	0	73
TCGA-RP-A693-06A-13D-A30X-08	0	0	0	0	22	0	16	0	0	0	413	418	0	0	87
TCGA-W3-A828-06A-11D-A34U-08	0	0	0	0	38	0	42	0	0	0	772	551	0	0	274
TCGA-WE-A8ZX-06A-11D-A372-08	0	0	0	0	17	0	0	0	0	0	143	543	0	0	73
TCGA-WE-AAA0-06A-11D-A38G-08	0	0	0	0	62	0	24	0	0	0	758	898	0	0	112
TCGA-Z2-A8RT-06A-11D-A372-08	0	0	0	0	198	0	18	0	0	0	1043	2603	0	0	0
D36	0	0	0	0	10	0	12	0	0	0	24	117	0	0	58
ME017-Tumor	0	0	0	0	18	0	0	0	0	0	304	480	0	0	98
PD10020a	0	0	0	0	28	0	25	0	0	0	417	693	0	0	169
PD9028a	0	0	0	0	24	0	16	0	0	0	343	252	0	0	110
SKCM-13447-Tumor	0	0	0	0	20	0	47	0	0	0	287	468	0	0	359
SKCM-13567-Tumor	0	0	0	0	11	0	27	0	0	0	215	291	0	0	160
SKCM-13600-Tumor	0	0	0	0	11	0	22	0	0	0	113	358	0	0	190
SKCM-JWCI-WGS-13-Tumor	0	0	0	0	34	0	0	0	0	0	424	404	0	0	274
SKCM-JWCI-WGS-18-Tumor	0	0	0	0	10	0	19	0	0	0	141	226	0	0	169
SKCM-JWCI-WGS-21-Tumor	0	0	0	0	11	0	14	0	0	0	441	686	0	0	203
SKCM-JWCI-WGS-3-Tumor	0	0	0	0	17	0	0	0	0	0	388	414	0	0	275
SKCM-JWCI-WGS-32-Tumor	0	0	0	0	23	0	68	0	0	0	393	633	0	0	78
SKCM-JWCI-WGS-36-Tumor	0	0	0	0	12	0	21	0	0	0	259	351	0	0	100
SKCM-Ma-Mel-122-Tumor	0	0	0	0	10	0	0	0	0	0	128	258	0	0	110
SKCM-Ma-Mel-19-Tumor	0	0	0	0	10	0	0	0	0	0	123	204	0	0	89
SKCM-Ma-Mel-36-Tumor	0	0	0	0	179	0	0	0	0	0	271	430	0	0	92
SKCM-UKRV-Mel-24-Tumor	0	0	0	0	12	0	26	0	0	0	256	228	0	0	92
145	0	0	0	0	37	0	0	0	0	0	53	75	0	0	33
1_PRE-TREATMENT	0	0	0	0	36	0	60	0	0	0	1201	1083	0	0	247
LAU108	0	0	0	0	15	0	11	0	0	0	151	215	0	0	68
LAU50_1	0	0	0	0	16	0	0	0	0	0	142	145	0	0	80
YUBER	0	0	0	0	17	0	30	0	0	0	421	416	0	0	57
YUDIALE	0	0	0	0	12	0	0	0	0	0	43	107	0	0	36
YULAPE	0	0	0	0	15	0	0	0	0	0	141	189	0	0	16
YUMER	0	0	0	0	14	0	48	0	0	0	320	417	0	0	53
YUPROST	0	0	0	0	34	0	44	0	0	0	306	388	0	0	111
YURED	0	0	0	0	13	0	0	0	0	0	47	194	0	0	16
YURUS	0	0	0	0	23	0	16	0	0	0	143	550	0	0	33
YUWAND	0	0	0	0	52	0	31	0	0	0	282	977	0	0	152
LAU63	0	0	0	0	32	0	33	0	0	0	503	897	0	0	117
TCGA-BF-A1PV-01A-11D-A19A-08	0	0	0	0	0	0	10	0	0	0	110	225	0	0	27
TCGA-BF-AAP2-01A-11D-A401-08	0	0	0	0	0	0	20	0	0	0	727	946	0	0	43
TCGA-BF-AAP7-01A-11D-A401-08	0	0	0	0	0	0	29	0	0	0	175	248	0	0	95
TCGA-D3-A1Q8-06A-11D-A19A-08	0	0	0	0	0	0	16	0	0	0	122	130	0	0	41
TCGA-D3-A2J7-06A-11D-A196-08	0	0	0	0	0	0	12	0	0	0	154	233	0	0	30
TCGA-D3-A2JA-06A-11D-A196-08	0	0	0	0	0	0	11	0	0	0	126	215	0	0	106
TCGA-D3-A2JO-06A-11D-A196-08	0	0	0	0	0	0	20	0	0	0	146	486	0	0	0
TCGA-D3-A3MV-06A-11D-A21A-08	0	0	0	0	0	0	15	0	0	0	180	434	0	0	72
TCGA-D3-A51E-06A-11D-A25O-08	0	0	0	0	0	0	22	0	0	0	126	137	0	0	55
TCGA-D3-A51J-06A-11D-A25O-08	0	0	0	0	0	0	17	0	0	0	250	262	0	0	47
TCGA-D3-A5GR-06A-11D-A27K-08	0	0	0	0	0	0	14	0	0	0	79	179	0	0	68
TCGA-D3-A8GC-06A-11D-A372-08	0	0	0	0	0	0	12	0	0	0	384	598	0	0	91
TCGA-D3-A8GO-06A-11D-A372-08	0	0	0	0	0	0	34	0	0	0	250	419	0	0	54
TCGA-D3-A8GQ-06A-11D-A372-08	0	0	0	0	0	0	49	0	0	0	309	1365	0	0	170
TCGA-D9-A3Z1-06A-11D-A23B-08	0	0	0	0	0	0	14	0	0	0	276	288	0	0	65
TCGA-D9-A3Z4-01A-11D-A23B-08	0	0	0	0	0	0	13	0	0	0	101	44	0	0	32
TCGA-DA-A1IA-06A-11D-A196-08	0	0	0	0	0	0	17	0	0	0	115	181	0	0	112
TCGA-DA-A95X-06A-11D-A372-08	0	0	0	0	0	0	12	0	0	0	173	345	0	0	111
TCGA-DA-A95Y-06A-11D-A372-08	0	0	0	0	0	0	21	0	0	0	123	289	0	0	74
TCGA-EB-A3XB-01A-11D-A23B-08	0	0	0	0	0	0	22	0	0	0	200	342	0	0	88
TCGA-EB-A3XC-01A-11D-A23B-08	0	0	0	0	0	0	11	0	0	0	176	226	0	0	98
