Sample	SBS1	SBS32	SBS33	SBS36	SBS3	SBS21	SBS7c	SBS7d	SBS15	SBS38	SBS10b	SBS30	SBS13	SBS7b	SBS4	SBS7a	SBS44	SBS5	SBS39	SBS2
TCGA-CN-A642-01A-12D-A30E-08	37	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	32	0	14
TCGA-CN-A6V6-01A-12D-A34J-08	21	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	17
TCGA-CN-A6V7-01A-12D-A34J-08	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	14
TCGA-CQ-5323-01A-01D-1683-08	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0
TCGA-CQ-5326-01A-01D-1870-08	28	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	91	0	67
TCGA-CQ-5327-01A-01D-1683-08	49	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	47	0	101
TCGA-CQ-5330-01A-01D-1683-08	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0
TCGA-CQ-5331-01A-02D-1870-08	16	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	35	0	60
TCGA-CQ-5332-01A-01D-1683-08	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	11
TCGA-CQ-5333-01A-01D-2394-08	41	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	85	0	66
TCGA-CQ-5334-01A-01D-1683-08	43	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	74	0	37
TCGA-CQ-6218-01A-11D-1912-08	26	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	83	0	29
TCGA-CQ-6219-01A-11D-1912-08	12	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	50	0	14
TCGA-CQ-6220-01A-11D-1912-08	25	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	62	0	15
TCGA-CQ-6223-01A-11D-1912-08	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0
TCGA-CQ-7063-01A-11D-2394-08	31	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	42	0	39
TCGA-CQ-7064-01A-11D-2394-08	23	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	50	0	24
TCGA-CQ-7068-01A-11D-2078-08	28	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	64	0	24
TCGA-CQ-7069-01A-11D-2394-08	12	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	17	0	29
TCGA-CQ-7071-01A-12D-A30E-08	30	0	0	0	0	0	0	0	0	0	0	0	267	0	0	0	0	81	0	185
TCGA-CQ-A4C6-01A-11D-A25D-08	19	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	50	0	31
TCGA-CQ-A4C9-01A-11D-A25D-08	28	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	59	0	12
TCGA-CQ-A4CD-01A-21D-A25D-08	22	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	57	0	27
TCGA-CR-5248-01A-01D-2012-08	39	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	103	0	115
TCGA-CR-6473-01A-11D-1870-08	21	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	60	0	23
TCGA-CR-6481-01A-11D-1870-08	44	0	0	0	0	0	0	0	0	0	0	0	214	0	0	0	0	59	0	312
TCGA-CR-6484-01A-11D-1870-08	19	0	0	0	0	0	0	0	0	0	0	0	156	0	0	0	0	70	0	84
TCGA-CR-7365-01A-11D-2012-08	12	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	70	0	50
TCGA-CR-7367-01A-11D-2012-08	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	10
TCGA-CR-7368-01A-11D-2129-08	15	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	109	0	63
TCGA-CR-7370-01A-11D-2129-08	14	0	0	0	0	0	0	0	0	0	0	0	45	0	303	0	0	257	0	47
TCGA-CR-7373-01A-11D-2012-08	28	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	53	0	26
TCGA-CR-7376-01A-11D-2129-08	15	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	23	0	0
TCGA-CR-7379-01A-11D-2012-08	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	11
TCGA-CR-7380-01A-11D-2012-08	30	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	61	0	0
TCGA-CR-7386-01A-11D-2012-08	21	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	37	0	76
TCGA-CR-7390-01A-11D-2012-08	19	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	93	0	23
TCGA-CR-7394-01A-11D-2012-08	28	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	93	0	51
TCGA-CR-7395-01A-11D-2012-08	15	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	94	0	61
TCGA-CR-7397-01A-11D-2012-08	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	11
TCGA-CR-7398-01A-11D-2012-08	24	0	0	0	0	0	0	0	0	0	0	0	15	0	287	0	0	127	0	29
TCGA-CR-7399-01A-11D-2012-08	14	0	0	0	0	0	0	0	0	0	0	0	23	0	219	0	0	111	0	28
TCGA-CV-5430-01A-02D-1683-08	12	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	88	0	36
TCGA-CV-5434-01A-01D-1683-08	28	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	124	0	0
TCGA-CV-5436-01A-01D-1512-08	11	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	83	0	15
TCGA-CV-5440-01A-01D-1512-08	10	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	84	0	25
TCGA-CV-5441-01A-01D-1512-08	24	0	0	0	0	0	0	0	0	0	0	0	0	0	231	0	0	210	0	0
TCGA-CV-5444-01A-02D-1512-08	18	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	81	0	41
TCGA-CV-5966-01A-11D-1683-08	13	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	92	0	18
TCGA-CV-5970-01A-11D-1683-08	82	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	69	0	60
TCGA-CV-5971-01A-11D-1683-08	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0
TCGA-CV-5977-01A-11D-1683-08	29	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	51	0	13
TCGA-CV-6003-01A-11D-1683-08	34	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	50	0	22
TCGA-CV-6436-01A-11D-1683-08	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	11
TCGA-CV-6441-01A-11D-1683-08	12	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	130	0	56
TCGA-CV-6936-01A-11D-1912-08	34	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	108	0	97
TCGA-CV-6937-01A-11D-2012-08	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	20
TCGA-CV-6938-01A-11D-1912-08	41	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	105	0	0
TCGA-CV-6940-01A-11D-1912-08	14	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	88	0	37
TCGA-CV-6942-01A-21D-2012-08	33	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	91	0	62
TCGA-CV-6951-01A-11D-1912-08	13	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	96	0	20
TCGA-CV-6952-01A-11D-1912-08	10	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	132	0	26
TCGA-CV-6953-01A-11D-1912-08	30	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	53	0	19
TCGA-CV-6955-01A-11D-2012-08	16	0	0	0	0	0	0	0	0	0	18	0	28	0	0	0	0	65	0	16
TCGA-CV-6959-01A-11D-1912-08	17	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	37	0	0
TCGA-CV-7095-01A-21D-2012-08	49	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	135	0	52
TCGA-CV-7097-01A-11D-2012-08	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0
TCGA-CV-7099-01A-41D-2012-08	33	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	103	0	114
TCGA-CV-7101-01A-11D-2012-08	14	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	153	0	20
TCGA-CV-7102-01A-11D-2012-08	25	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	57	0	35
TCGA-CV-7104-01A-11D-2012-08	19	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	51	0	19
TCGA-CV-7178-01A-21D-2012-08	24	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	84	0	15
TCGA-CV-7238-01A-11D-2012-08	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0
TCGA-CV-7243-01A-11D-2012-08	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	14
TCGA-CV-7250-01A-11D-2012-08	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206	0	0
TCGA-CV-7252-01A-11D-2012-08	27	0	0	0	0	0	0	0	0	0	0	0	42	55	0	23	0	99	0	41
TCGA-CV-7261-01A-11D-2012-08	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0
TCGA-CV-7406-01A-11D-2078-08	20	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	84	0	99
TCGA-CV-7407-01A-11D-2078-08	14	0	0	0	0	0	0	0	0	0	0	0	11	0	0	24	0	100	0	0
TCGA-CV-7414-01A-11D-2078-08	33	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	109	0	69
TCGA-CV-7416-01A-11D-2078-08	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	13
TCGA-CV-7423-01A-11D-2078-08	24	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	60	0	10
TCGA-CV-7424-01A-11D-2078-08	28	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	150	0	26
TCGA-CV-7425-01A-11D-2078-08	37	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	80	0	18
TCGA-CV-7427-01A-11D-2078-08	17	0	0	0	0	0	0	0	0	0	0	0	285	0	0	0	0	29	0	244
TCGA-CV-7433-01A-11D-2129-08	13	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	80	0	23
TCGA-CV-7437-01A-21D-2129-08	29	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	99	0	19
TCGA-CV-7438-01A-21D-2129-08	24	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	63	0	13
TCGA-CV-7440-01A-11D-2129-08	15	0	0	0	0	0	0	0	0	0	0	0	14	0	88	0	0	120	0	10
TCGA-CV-A45O-01A-21D-A24D-08	22	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	43	0	75
TCGA-CV-A45P-01A-11D-A24D-08	34	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	39	0	65
TCGA-CV-A45Q-01A-11D-A24D-08	46	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	139	0	84
TCGA-CV-A45R-01A-11D-A24D-08	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0
TCGA-CV-A45W-01A-11D-A25D-08	15	0	0	0	0	0	0	0	0	0	0	0	35	0	336	0	0	316	0	34
TCGA-CV-A463-01A-11D-A25Y-08	48	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	113	0	74
TCGA-CV-A6JD-01A-11D-A31L-08	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0
TCGA-CV-A6JO-01B-11D-A34J-08	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0
TCGA-CV-A6JT-01A-11D-A31L-08	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0
TCGA-CV-A6K1-01A-11D-A31L-08	121	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	177	131	0	62
TCGA-CV-A6K2-01A-11D-A31L-08	29	0	0	0	0	0	0	0	0	0	0	0	361	0	0	0	0	118	0	369
TCGA-CX-7085-01A-21D-2012-08	12	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	24	0	45
TCGA-CX-7219-01A-11D-2012-08	11	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	83	0	23
TCGA-CX-A4AQ-01A-11D-A25D-08	16	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	87	0	15
TCGA-D6-6515-01A-21D-1870-08	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0
TCGA-D6-A4ZB-01A-11D-A25D-08	15	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	99	0	34
TCGA-D6-A6ES-01A-12D-A31L-08	24	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	74	0	59
TCGA-DQ-5624-01A-01D-1870-08	16	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	45	0	34
TCGA-DQ-5629-01A-01D-1870-08	16	0	0	0	0	0	0	0	0	0	0	0	32	0	140	0	0	205	0	21
TCGA-DQ-5630-01A-01D-1870-08	11	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	54	0	0
TCGA-DQ-5631-01A-01D-1870-08	22	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	63	0	0
TCGA-F7-8298-01A-11D-2394-08	10	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	57	0	19
TCGA-F7-8489-01A-31D-2394-08	13	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	111	0	26
TCGA-F7-A50G-01A-11D-A25Y-08	37	0	0	0	0	0	0	0	0	0	20	0	30	0	0	0	0	32	0	0
TCGA-F7-A50J-01A-21D-A28R-08	40	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	86	0	35
TCGA-F7-A61S-01A-11D-A28R-08	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0
TCGA-F7-A623-01A-11D-A28R-08	22	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	162	0	33
TCGA-F7-A624-01A-22D-A30E-08	553	0	0	0	0	1417	0	0	0	0	0	0	0	0	0	0	732	1072	0	0
TCGA-H7-7774-01A-21D-2078-08	39	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	109	0	15
TCGA-H7-8501-01A-11D-2394-08	24	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	44	0	62
TCGA-H7-A76A-01A-51D-A34J-08	13	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	22	0	33
TCGA-HD-7754-01A-11D-2078-08	29	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	34	0	0
TCGA-HD-8224-01A-11D-2394-08	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0
TCGA-HD-8634-01A-11D-2394-08	15	0	0	0	0	0	0	0	0	0	15	0	13	0	0	0	0	34	0	0
TCGA-HD-8635-01A-11D-2394-08	15	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	139	0	41
TCGA-HD-A4C1-01A-11D-A24D-08	33	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	102	0	68
TCGA-HD-A633-01A-11D-A28R-08	21	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	71	0	37
TCGA-HD-A6I0-01A-11D-A31L-08	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	10
TCGA-IQ-A61E-01A-22D-A30E-08	34	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	53	0	68
TCGA-IQ-A61H-01A-11D-A30E-08	22	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	101	0	30
TCGA-IQ-A61I-01A-11D-A30E-08	28	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	34	0	88
TCGA-IQ-A61L-01A-11D-A30E-08	29	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	24	0	23
TCGA-IQ-A6SH-01A-12D-A34J-08	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0
TCGA-KU-A66S-01A-21D-A30E-08	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	550	11
TCGA-KU-A6H7-01A-11D-A31L-08	15	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	19	0	84
TCGA-KU-A6H7-06A-21D-A31L-08	14	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	35	0	25
TCGA-MT-A67A-01A-11D-A30E-08	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0
TCGA-MT-A67F-01A-11D-A30E-08	23	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	41	0	185
TCGA-MT-A67G-01A-11D-A30E-08	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	14
TCGA-P3-A5Q5-01A-11D-A28R-08	37	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	50	0	121
TCGA-P3-A5QA-01A-11D-A28R-08	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0
TCGA-P3-A5QF-01A-11D-A28R-08	28	0	0	0	0	0	0	0	0	0	0	0	223	0	0	0	0	31	0	247
TCGA-P3-A6T0-01A-12D-A34J-08	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0
TCGA-P3-A6T3-01A-11D-A34J-08	22	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	42	0	34
TCGA-P3-A6T5-01A-11D-A34J-08	48	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	127	0	67
TCGA-P3-A6T6-01A-11D-A34J-08	14	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	75	0	33
TCGA-P3-A6T7-01A-11D-A34J-08	27	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	98	0	16
TCGA-QK-A64Z-01A-11D-A30E-08	14	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	45	0	20
TCGA-QK-A652-01A-11D-A30E-08	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0
TCGA-QK-A6IF-01A-11D-A31L-08	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0
TCGA-QK-A6IG-01A-11D-A31L-08	33	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	59	0	27
TCGA-QK-A6II-01A-11D-A31L-08	11	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	85	0	42
TCGA-QK-A6IJ-01A-11D-A31L-08	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0
TCGA-QK-A6V9-01A-11D-A34J-08	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	14
TCGA-QK-A6VB-01A-12D-A34J-08	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	292	150	0	0
TCGA-QK-A6VC-01A-23D-A34J-08	11	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	83	0	78
TCGA-QK-A8Z8-01A-11D-A391-08	13	0	0	0	0	0	0	0	0	0	0	0	0	0	234	0	0	237	0	0
TCGA-QK-A8Z9-01B-11D-A391-08	10	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	127	0	11
TCGA-QK-A8ZA-01A-11D-A391-08	18	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	85	0	19
TCGA-QK-AA3K-01A-11D-A391-08	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0
TCGA-RS-A6TO-01A-32D-A34J-08	35	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	92	0	44
TCGA-RS-A6TP-01A-12D-A34J-08	18	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	38	0	56
TCGA-T2-A6WX-01A-12D-A34J-08	34	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	49	0	81
TCGA-T2-A6X0-01A-11D-A34J-08	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0
TCGA-T2-A6X2-01A-12D-A34J-08	22	0	0	0	0	0	0	0	0	0	0	0	206	0	0	0	0	74	0	165
TCGA-T3-A92M-01A-31D-A391-08	25	0	0	0	0	0	0	0	0	0	0	0	182	0	0	0	0	134	0	112
TCGA-T3-A92N-01A-11D-A391-08	25	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	112	0	46
TCGA-TN-A7HI-01A-11D-A34J-08	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0
TCGA-TN-A7HJ-01A-12D-A34J-08	11	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	53	0	41
TCGA-TN-A7HL-01A-11D-A34J-08	52	0	0	0	0	0	0	0	0	0	0	0	316	0	0	0	0	84	0	379
TCGA-UF-A71E-01A-31D-A34J-08	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0
TCGA-UF-A7J9-01A-12D-A34J-08	10	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	180	0	34
TCGA-UF-A7JA-01A-12D-A34J-08	18	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	127	0	42
TCGA-UF-A7JO-01A-11D-A34J-08	56	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	71	0	40
TCGA-UF-A7JT-01A-11D-A34J-08	29	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	95	0	49
TCGA-WA-A7GZ-01A-11D-A34J-08	35	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	126	0	47
TCGA-WA-A7H4-01A-21D-A34J-08	13	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	40	0	10
1604875	35	0	0	0	0	0	0	18	0	0	0	0	0	395	0	107	0	126	0	0
93VU147T	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	479	0	0
BICR_22	36	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	426	0	12
CAL27	41	0	0	0	0	0	0	0	0	0	0	0	125	0	0	0	0	432	0	83
